_id,image_url,brands,pnns_groups_2,energy-kj_100g,sugars_100g,salt_100g,saturated-fat_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,sodium_100g,nutrition-score-fr_100g
4056489442356,https://images.openfoodfacts.org/images/products/405/648/944/2356/front_de.13.400.jpg,Vemondo,Legumes,498.0,0.4,0.03,1.1,13.7,0.6,47.0,0.012,-3.0
8710912064725,https://images.openfoodfacts.org/images/products/871/091/206/4725/front_de.64.400.jpg,Valess,unknown,912.0,0.8,1.3,2.6,14.3,3.5,0.0,0.52,1.0
8005110517006,https://images.openfoodfacts.org/images/products/800/511/051/7006/front_de.58.400.jpg,Mutti,Dressings and sauces,234.0,4.5,0.81,0.5,1.6,1.2,77.3375,0.324,-3.0
5449000017888,https://images.openfoodfacts.org/images/products/544/900/001/7888/front_de.70.400.jpg,Coca-Cola,Sweetened beverages,180.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,14.0
7610227920918,https://images.openfoodfacts.org/images/products/761/022/792/0918/front_de.40.400.jpg,GreenMountain,Sandwiches,868.0,2.5,1.7,8.7,18.0,4.1,0.0,0.68,13.0
4311596421077,https://images.openfoodfacts.org/images/products/431/159/642/1077/front_de.27.400.jpg,"Gut & Günstig, Edeka",Nuts,2685.0,6.1,1.5,7.2,24.0,7.7,50.0,0.6,16.0
3017760000406,https://images.openfoodfacts.org/images/products/301/776/000/0406/front_fr.82.400.jpg,LU,Biscuits and cakes,1956.0,26.0,1.4,11.0,6.9,2.6,0.0,0.56,24.0
5053990107339,https://images.openfoodfacts.org/images/products/505/399/010/7339/front_fr.86.400.jpg,"PRINGLES,PRINGLES ORIGINAL",Appetizers,2227.0,1.4,1.1,6.6,5.9,3.5,0.0,0.44,13.0
5000112576009,https://images.openfoodfacts.org/images/products/500/011/257/6009/front_de.30.400.jpg,Coca-Cola,Artificially sweetened beverages,0.9,0.0,0.2,0.0,0.0,0.0,0.0,0.08,1.0
5711953103766,https://images.openfoodfacts.org/images/products/571/195/310/3766/front_de.52.400.jpg,"Arla, Buko",Cheese,1030.0,3.0,0.8,16.0,4.5,0.0,0.0,0.32,14.0
4000339035229,https://images.openfoodfacts.org/images/products/400/033/903/5229/front_en.52.400.jpg,"Mondelez,Philadelphia",Salty and fatty products,964.0,4.3,0.75,14.0,5.4,0.2,0.0,0.3,12.0
7613036920278,https://images.openfoodfacts.org/images/products/761/303/692/0278/front_de.33.400.jpg,"Garden Gourmet,Nestlé",unknown,817.0,1.0,0.9,3.9,14.0,5.9,13.2725941051136,0.36,-2.0
7622300336738,https://images.openfoodfacts.org/images/products/762/230/033/6738/front_de.219.400.jpg,Mondelez,Biscuits and cakes,1997.0,38.0,0.73,5.4,5.3,2.7,8.7125,0.292,19.0
20757809,https://images.openfoodfacts.org/images/products/20757809/front_de.87.400.jpg,"Chef Select, My Best Veggie",Dressings and sauces,1129.0,2.2,1.63,1.9,6.7,5.2,71.5,0.652,4.0
4056489346357,https://images.openfoodfacts.org/images/products/405/648/934/6357/front_de.154.400.jpg,"Milbona,Vemondo,Lidl,envia",Plant-based milk substitutes,53.0,0.0,0.15,0.1,0.5,0.0,2.3,0.06,0.0
