_id,image_url,brands,is_beverage,pnns_groups_2,energy-kj_100g,sugars_100g,salt_100g,saturated-fat_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,sodium_100g,nutrition-score-fr_100g,nutrition_grade_fr,negative_points,positive_points
7622300508661,https://images.openfoodfacts.org/images/products/762/230/050/8661/front_de.29.400.jpg,"Philadelphia,Milka,Mondelez",N,Sweets,1202,33,0.51,8.4,6.2,1.7,0,0.204,16,d,0,5
4000405005217,https://images.openfoodfacts.org/images/products/400/040/500/5217/front_de.74.400.jpg,Rügenwalder Mühle,N,unknown,422,0.5,1.6,0.1,18,5.7,5.25,0.64,-2,a,10,5
4056489223252,https://images.openfoodfacts.org/images/products/405/648/922/3252/front_de.33.400.jpg,"Vemondo,Lidl",N,unknown,969,6,1.55,1.1,4.5,2.8,0.3,0.62,6,c,9,4
7610227935219,https://images.openfoodfacts.org/images/products/761/022/793/5219/front_de.29.400.jpg,The Green Mountain,N,unknown,608,0.5,1.6,0.6,11,2,0,0.64,1,b,6,9
4000405005415,https://images.openfoodfacts.org/images/products/400/040/500/5415/front_de.50.400.jpg,Rügenwalder Mühle,N,unknown,556,1.5,2.7,0.7,6.4,3.2,6,1.08,8,c,10,6
7290010739820,https://images.openfoodfacts.org/images/products/729/001/073/9820/front_de.48.400.jpg,"Garden Gourmet,Nestlé",N,unknown,937,2.8,1.4,1.7,14,5.3,42.325,0.56,-2,a,3,10
4260380661260,https://images.openfoodfacts.org/images/products/426/038/066/1260/front_de.63.400.jpg,Like Meat,N,unknown,544,0.5,1.6,0.5,18,6.2,0,0.64,-2,a,8,7
3033710065967,https://images.openfoodfacts.org/images/products/303/371/006/5967/front_de.322.400.jpg,"Nestlé,Nesquik",N,unknown,1634,75.1,0.41,1.6,5.1,7.7,0,0.164,1,b,3,2
4000405004548,https://images.openfoodfacts.org/images/products/400/040/500/4548/front_de.60.400.jpg,Rügenwälder Mühle,N,unknown,748,1.5,2.4,1.2,8.2,3,0,0.96,10,c,9,10
4260322211362,https://images.openfoodfacts.org/images/products/426/032/221/1362/front_de.17.400.jpg,Greenforce,N,unknown,972,1.5,2.2,4,13,6,30.14705882,0.88,9,c,10,9
4000405001752,https://images.openfoodfacts.org/images/products/400/040/500/1752/front_de.34.400.jpg,Rügenwalder Mühle,N,unknown,726,0.6,1.9,1,8.2,3.8,34.82142857,0.76,1,b,8,5
4000405004982,https://images.openfoodfacts.org/images/products/400/040/500/4982/front_de.36.400.jpg,Rügenwalder Mühle,N,unknown,460,2,2.2,0.7,2.2,6.7,0,0.88,4,c,11,0
4000405004470,https://images.openfoodfacts.org/images/products/400/040/500/4470/front_de.36.400.jpg,Rügenwalder,N,unknown,590,1.4,2.3,1,2.2,6.3,4.4,0.92,6,c,11,0
4260380661246,https://images.openfoodfacts.org/images/products/426/038/066/1246/front_de.98.400.jpg,Like Meat,N,unknown,510,0.6,0.6,0.3,18,7.1,0,0.24,-7,a,10,6
20330750,https://images.openfoodfacts.org/images/products/20330750/front_de.85.400.jpg,"Vemondo,Lidl",N,unknown,681,4,1.5,0.7,18.8,7.7,6.337038826,0.6,-2,a,7,9
4260380661284,https://images.openfoodfacts.org/images/products/426/038/066/1284/front_de.39.400.jpg,Like Meat,N,unknown,960,0,1.4,1.6,11,5.9,0,0.56,-1,a,11,0
20330743,https://images.openfoodfacts.org/images/products/20330743/front_de.40.400.jpg,vemondo,N,unknown,674,1.3,1.54,0.5,19,4.8,15.5,0.616,-2,a,2,5
8710912064725,https://images.openfoodfacts.org/images/products/871/091/206/4725/front_de.64.400.jpg,Valess,N,unknown,912,0.8,1.3,2.6,14.3,3.5,0,0.52,1,b,1,5
4000405002100,https://images.openfoodfacts.org/images/products/400/040/500/2100/front_de.98.400.jpg,Rügenwalder Mühle,N,unknown,1080,0.6,1.6,1.9,4.5,3.7,3,0.64,8,c,10,5
4000405001523,https://images.openfoodfacts.org/images/products/400/040/500/1523/front_de.55.400.jpg,"Rügenwalder Mühle, Mühlenbauer",N,unknown,699,0.8,1.8,1,7.1,3.2,28.5,0.72,2,b,11,0
1230000068017,https://images.openfoodfacts.org/images/products/123/000/006/8017/front_de.49.400.jpg,Beyond Meat,N,unknown,1047,0,0.75,5.6,17,1.3,8.01953125,0.3,10,c,7,5
4000405004968,https://images.openfoodfacts.org/images/products/400/040/500/4968/front_de.44.400.jpg,Rügenwalder Mühle,N,unknown,476,1.5,2.2,0.7,2.2,7.9,0,0.88,4,c,9,9
4000405004593,https://images.openfoodfacts.org/images/products/400/040/500/4593/front_de.115.400.jpg,Rügenwalder Mühle,N,unknown,492,2.2,2.3,0.4,2.2,7.3,12,0.92,6,c,8,10
3700278400881,https://images.openfoodfacts.org/images/products/370/027/840/0881/front_fr.74.400.jpg,Banania,N,unknown,1577,69,0.05,1.4,5.6,6.7,0.25,0.02,1,b,3,2
7613036920278,https://images.openfoodfacts.org/images/products/761/303/692/0278/front_de.33.400.jpg,"Garden Gourmet,Nestlé",N,unknown,817,1,0.9,3.9,14,5.9,13.27259411,0.36,-2,a,8,8
4000405004999,https://images.openfoodfacts.org/images/products/400/040/500/4999/front_de.10.400.jpg,Rügenwalder Mühle,N,unknown,487,1.5,2.3,0.7,2.2,8,23.07692308,0.92,6,c,11,0
4025500163082,https://images.openfoodfacts.org/images/products/402/550/016/3082/front_de.46.400.jpg,"Müller, Müller",N,unknown,162,4.2,0.12,0.4,3.4,0,0,0.048,-2,a,0,5
4000405001431,https://images.openfoodfacts.org/images/products/400/040/500/1431/front_de.29.400.jpg,Rügenwalder Mühle,N,unknown,860,1.5,1.8,0.8,14,3.9,34.61538462,0.72,0,b,9,7
4260380660294,https://images.openfoodfacts.org/images/products/426/038/066/0294/front_de.48.400.jpg,Like Meat,N,unknown,480,0.8,2.1,0.3,18,6.9,0,0.84,0,b,11,0
4311596638093,https://images.openfoodfacts.org/images/products/431/159/663/8093/front_de.36.400.jpg,vehappy,N,unknown,553,2.3,1.3,0.7,7.6,5.8,0,0.52,-3,a,11,0
4250241208642,https://images.openfoodfacts.org/images/products/425/024/120/8642/front_de.29.400.jpg,Iglo,N,unknown,1073,1.7,0.91,1,7.9,2,11.45,0.364,1,b,6,5
8718692788138,https://images.openfoodfacts.org/images/products/871/869/278/8138/front_de.18.400.jpg,The Vegetarian Butcher,N,unknown,1250,0.5,1.4,4.2,14,3.5,0,0.56,10,c,4,6
4000405001288,https://images.openfoodfacts.org/images/products/400/040/500/1288/front_de.60.400.jpg,Rügenwalder Mühle,N,unknown,1009,1.8,2,1.3,13,4.2,11,0.8,8,c,11,3
3229820787985,https://images.openfoodfacts.org/images/products/322/982/078/7985/front_fr.85.400.jpg,Bjorg,Y,Unsweetened beverages,760,1.6,0.08,15,1.2,1.1,55,0.032,19,e,0,0
3274080005003,https://images.openfoodfacts.org/images/products/327/408/000/5003/front_de.871.400.jpg,Cristaline,Y,Waters and flavored waters,0,0,0.00525,0,0,0,0,0.0021,0,a,0,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
